scopus,doi,title,type,year,source,page,volume,reader_count,link,given-name,sur_name,citedby_count,h_index,doc_total,citedby_doc,coauthors_total
2-s2.0-56349156973,10.1080/00207540600767764,Effect of information sharing in supply chains with flexibility,journal,2009,International Journal of Production Research,213-232,47,52,http://www.mendeley.com/research/effect-information-sharing-supply-chains-flexibility-7,H. K.,Chan,63,31,116,2485,74
2-s2.0-70349132634,10.1145/1862919.1862926,Incremental XPath evaluation,journal,2010,ACM Transactions on Database Systems,Jan-43,35,11,http://www.mendeley.com/research/incremental-xpath-evaluation,Henrik,Björklund,7,12,34,321,20
2-s2.0-84878820289,10.1061/(ASCE)CO.1943-7862.0000648,Enhancing Construction As-Built Documentation Using Interactive Voice Response,journal,2013,Journal of Construction Engineering and Management,895-898,139,18,http://www.mendeley.com/research/enhancing-construction-asbuilt-documentation-using-interactive-voice-response,Mohamed,Abdel-Monem,8,3,8,23,4
2-s2.0-33644593120,10.1287/orsc.1050.0174,"Turnover Events, Vicarious Information, and the Reduced Likelihood of Outlet-Level Exit Among Small Multiunit Organizations",journal,2006,Organization Science,118-131,17,67,http://www.mendeley.com/research/turnover-events-vicarious-information-reduced-likelihood-outletlevel-exit-among-small-multiunit-orga,Arturs,Kalnins,19,13,23,727,10
2-s2.0-79951604030,10.1002/asi.21461,P-Rank: An indicator measuring prestige in heterogeneous scholarly networks,journal,2011,Journal of the American Society for Information Science and Technology,467-477,62,36,http://www.mendeley.com/research/prank-indicator-measuring-prestige-heterogeneous-scholarly-networks,Erjia,Yan,47,18,65,767,65
2-s2.0-33646507527,10.1002/sres.757,A systems approach to developing and implementing an ERP financial subsystem,journal,2006,Systems Research and Behavioral Science,237-250,23,12,http://www.mendeley.com/research/systems-approach-developing-implementing-erp-financial-subsystem,Zhuqiang,Zhu,4,2,2,6,3
2-s2.0-34249944628,10.1007/s10726-006-9051-9,Loss aversion and reference-dependent preferences in multi-attribute negotiations,journal,2007,Group Decision and Negotiation,303-319,16,23,http://www.mendeley.com/research/loss-aversion-referencedependent-preferences-multiattribute-negotiations,Henner,Gimpel,10,6,28,110,54
2-s2.0-80053994631,10.1111/j.1540-5885.2011.00850.x,Control combinations in new product development projects,journal,2011,Journal of Product Innovation Management,868-880,28,39,http://www.mendeley.com/research/control-combinations-new-product-development-projects-3,Serge A.,Rijsdijk,28,7,12,221,12
2-s2.0-84873445461,10.1080/00207543.2012.701773,Decision model to support the SMEs decision to participate or leave a collaborative network,journal,2013,International Journal of Production Research,1973-1983,51,35,http://www.mendeley.com/research/decision-model-support-smes-decision-participate-leave-collaborative-network,Paolo,Renna,12,12,62,378,23
2-s2.0-84859264968,10.1002/asi.21710,The elusive tale: Leveraging the study of information seeking and knowledge organization to improve access to and discovery of folktales,journal,2012,Journal of the American Society for Information Science and Technology,687-701,63,26,http://www.mendeley.com/research/elusive-tale-leveraging-study-information-seeking-knowledge-organization-improve-access-discovery-fo,Kathryn A.,La Barre,12,7,27,250,36
2-s2.0-84924559818,10.1377/hlthaff.2014.1085,"Most primary care physicians are aware of prescription drug monitoring programs, but many find the data difficult to access",journal,2015,Health Affairs,484-492,34,50,http://www.mendeley.com/research/most-primary-care-physicians-aware-prescription-drug-monitoring-programs-find-data-difficult-access,Lainie,Rutkow,38,11,91,347,136
2-s2.0-84871826963,10.1111/j.1540-6229.2012.00348.x,Does Credit Scoring Produce a Disparate Impact?,journal,2012,Real Estate Economics,,40,21,http://www.mendeley.com/research/credit-scoring-produce-disparate-impact,Robert B.,Avery,3,13,20,617,13
2-s2.0-77951751212,10.1080/17517570903067751,Architectural design for resilience,journal,2010,Enterprise Information Systems,137-152,4,37,http://www.mendeley.com/research/architectural-design-resilience,Dong,Liu,26,8,16,197,27
2-s2.0-62749201052,10.1007/s11156-008-0088-5,The value relevance of corporate restructuring charges,journal,2009,Review of Quantitative Finance and Accounting,101-128,32,9,http://www.mendeley.com/research/value-relevance-corporate-restructuring-charges,Bikki,Jaggi,5,20,62,1728,43
2-s2.0-84880604408,10.1377/hlthaff.2012.0646,Innovation profile: How the avahan HIV prevention program transitioned from the gates foundation to the government of India,journal,2013,Health Affairs,1265-1273,32,9,http://www.mendeley.com/research/innovation-profile-avahan-hiv-prevention-program-transitioned-gates-foundation-government-india,Sema K.,Sgaier,25,12,32,394,117
2-s2.0-85007084598,10.1111/j.1475-3995.2006.00536.x,Two-machine flowshop scheduling with conditional deteriorating second operations,journal,2006,International Transactions in Operational Research,91-98,13,3,http://www.mendeley.com/research/twomachine-flowshop-scheduling-conditional-deteriorating-second-operations,B. M.T.,Lin,7,20,86,1438,57
2-s2.0-84865072214,10.1287/isre.1100.0309,Determining optimal CRM implementation strategies,journal,2011,Information Systems Research,624-639,22,78,http://www.mendeley.com/research/determining-optimal-crm-implementation-strategies,Seung Hyun,Kim,6,6,15,100,20
2-s2.0-77955800118,10.1080/14783363.2010.487707,Modelling the performance of CoP in knowledge management,journal,2010,Total Quality Management and Business Excellence,1033-1045,21,31,http://www.mendeley.com/research/modelling-performance-cop-knowledge-management,Cheng-Lang,Yang,7,11,20,684,23
2-s2.0-34848822520,10.1145/1290958.1290970,Leveraging the flexibility of your data warehouse,journal,2007,Communications of the ACM,107-111,50,18,http://www.mendeley.com/research/leveraging-flexibility-data-warehouse,Richard J.,Goeke,7,5,15,72,15
2-s2.0-84928482538,10.2308/bria-50755,Managerial influence in performance measurement system design: A recipe for failure?,journal,2014,Behavioral Research in Accounting,Jan-34,26,64,http://www.mendeley.com/research/managerial-influence-performance-measurement-system-design-recipe-failure,Anne-Marie,Kruis,4,3,7,43,6
2-s2.0-79956212978,10.1002/sres.1074,Knowledge transfer in intra-organization networks,journal,2011,Systems Research and Behavioral Science,270-282,28,40,http://www.mendeley.com/research/knowledge-transfer-intraorganization-networks,Fangcheng,Tang,14,6,24,163,22
2-s2.0-77958186655,10.1089/cyber.2009.0335,Designing Appropriate Blended Courses: A Students' Perspective,journal,2010,"Cyberpsychology, Behavior, and Social Networking",563-566,13,29,http://www.mendeley.com/research/designing-appropriate-blended-courses-students-perspective,Chia-Wen,Tsai,7,14,83,366,41
2-s2.0-84932196810,10.1080/00207543.2015.1005247,Engineering model-based Bayesian monitoring of ramp-up phase of multistage manufacturing process,journal,2015,International Journal of Production Research,4594-4613,53,8,http://www.mendeley.com/research/engineering-modelbased-bayesian-monitoring-rampup-phase-multistage-manufacturing-process,Shichang,Du,18,14,61,329,48
2-s2.0-33947237812,10.1080/13600800600980072,Performance-based funding as an instrument of competition in German higher education,generic,2007,Journal of Higher Education Policy and Management,23-Mar,29,39,http://www.mendeley.com/research/performancebased-funding-instrument-competition-german-higher-education,Dominic,Orr,31,5,6,58,5
2-s2.0-70449567531,10.1080/09511920802527574,Modelling dynamic value streams in support of process design and evaluation,journal,2009,International Journal of Computer Integrated Manufacturing,411-427,22,42,http://www.mendeley.com/research/modelling-dynamic-value-streams-support-process-design-evaluation-3,K.,Agyapong-Kodua,28,7,18,90,24
2-s2.0-27944456829,10.1080/0144929042000320027,A hybrid technology acceptance approach for exploring e-CRM adoption in organizations,journal,2005,Behaviour and Information Technology,303-316,24,90,http://www.mendeley.com/research/hybrid-technology-acceptance-approach-exploring-ecrm-adoption-organizations,I. L.,Wu,66,16,35,1030,21
2-s2.0-84857429217,10.1111/j.1365-2575.2011.00381.x,Usability problem identification in culturally diverse settings,journal,2012,Information Systems Journal,151-175,22,64,http://www.mendeley.com/research/usability-problem-identification-culturally-diverse-settings,Torkil,Clemmensen,19,11,69,363,80
2-s2.0-77955211754,10.1145/1806907.1806913,Views and queries,journal,2010,ACM Transactions on Database Systems,Jan-41,35,29,http://www.mendeley.com/research/views-queries,Alan,Nash,51,13,22,483,14
2-s2.0-79953885698,10.1002/asi.21518,A generic Web-based entity resolution framework,journal,2011,Journal of the American Society for Information Science and Technology,919-932,62,19,http://www.mendeley.com/research/generic-webbased-entity-resolution-framework,Denilson Alves,Pereira,6,4,11,75,25
2-s2.0-84911400310,10.1080/0144929X.2014.883641,The drivers of consumers' intention to redeem a push mobile coupon,journal,2014,Behaviour and Information Technology,1306-1316,33,58,http://www.mendeley.com/research/drivers-consumers-intention-redeem-push-mobile-coupon,Naquita Maria-Jose,Achadinha,8,1,1,8,2
2-s2.0-34249982008,10.1111/j.1365-2575.2007.00222.x,Persistent problems and practices in information systems development,journal,2007,Information Systems Journal,217-239,17,94,http://www.mendeley.com/research/persistent-problems-practices-information-systems-development,Karlheinz,Kautz,67,18,114,758,122
2-s2.0-70350136794,10.1111/j.1937-5956.2009.01028.x,Optimal ordering policies for stochastic inventory problems with observed information delays,journal,2009,Production and Operations Management,546-559,18,23,http://www.mendeley.com/research/optimal-ordering-policies-stochastic-inventory-problems-observed-information-delays,Alain,Bensoussan,17,26,238,2297,150
2-s2.0-84898945484,10.1080/10580530.2014.890440,Exploring IT Dependence and IT Governance,journal,2014,Information Systems Management,143-166,31,58,http://www.mendeley.com/research/exploring-it-dependence-it-governance,Sylvie,Héroux,6,3,5,17,2
2-s2.0-84866719300,10.1002/pmj.21290,A perspective-based understanding of project success,generic,2012,Project Management Journal,68-86,43,95,http://www.mendeley.com/research/perspectivebased-understanding-project-success,Laurie,McLeod,52,10,22,357,20
2-s2.0-84880285817,10.1007/s10845-011-0616-3,Maintenance scheduling incorporating dynamics of production system and real-time information from workstations,journal,2013,Journal of Intelligent Manufacturing,695-705,24,48,http://www.mendeley.com/research/maintenance-scheduling-incorporating-dynamics-production-system-realtime-information-workstations,Ali,Arab,14,8,31,160,54
2-s2.0-33646695934,10.1111/j.1467-646X.2006.121.x,The multijurisdictional disclosure system and value of equity offerings,journal,2006,Journal of International Financial Management and Accounting,52-83,17,4,http://www.mendeley.com/research/multijurisdictional-disclosure-system-value-equity-offerings,Usha R.,Mittoo,5,9,17,442,7
2-s2.0-84925352279,10.1287/opre.2014.1335,"Technical Note—New Sufficient Conditions for (s, S) Policies to be Optimal in Systems with Multiple Uncertainties",journal,2015,Operations Research,186-197,63,3,http://www.mendeley.com/research/technical-notenew-sufficient-conditions-s-s-policies-optimal-systems-multiple-uncertainties,Lucy Gongtao,Chen,1,4,8,35,12
2-s2.0-84867362603,10.1080/00207543.2011.636389,Development of machine learning‐based real time scheduling systems: using ensemble based on wrapper feature selection approach,journal,2012,International Journal of Production Research,5887-5905,50,16,http://www.mendeley.com/research/development-machine-learningbased-real-time-scheduling-systems-using-ensemble-based-wrapper-feature-2,Yeou-Ren,Shiue,5,10,20,231,12
2-s2.0-77953931328,10.1145/1785414.1785453,Using ESI discovery teams to manage electronic data discovery,journal,2010,Communications of the ACM,142,53,11,http://www.mendeley.com/research/using-esi-discovery-teams-manage-electronic-data-discovery,John C.,Ruhnka,3,5,8,247,7
2-s2.0-37849050988,10.1111/j.1467-9515.2007.00589.x,Market forces for the unemployed? Training vouchers in Germany and the USA,journal,2008,Social Policy and Administration,77-101,42,14,http://www.mendeley.com/research/market-forces-unemployed-training-vouchers-germany-usa,Lena,Hipp,30,4,9,58,11
2-s2.0-39449109882,10.1080/14783360701600704,"Business improvement strategy or useful tool? Analysis of the application of the 5S concept in Japan, the UK and the US",journal,2008,Total Quality Management and Business Excellence,245-262,19,78,http://www.mendeley.com/research/business-improvement-strategy-useful-tool-analysis-application-5s-concept-japan-uk,Kaoru,Kobayashi,30,2,2,93,2
2-s2.0-84871311991,10.1080/00207543.2012.693961,Determinants of mobile supply chain management system diffusion: a structural equation analysis of manufacturing firms,journal,2013,International Journal of Production Research,1196-1213,51,24,http://www.mendeley.com/research/determinants-mobile-supply-chain-management-system-diffusion-structural-equation-analysis-manufactur,Felix T.S.,Chana,22,2,2,35,5
2-s2.0-69249143303,10.1002/asi.21177,Design: Information technologies and creative practices,journal,2009,Journal of the American Society for Information Science and Technology,1874-1876,60,12,http://www.mendeley.com/research/design-information-technologies-creative-practices,Lois F.,Lunin,1,2,6,6,3
2-s2.0-84871285274,10.1080/00207543.2012.695090,The value of information systems for product recovery management,journal,2013,International Journal of Production Research,1214-1235,51,49,http://www.mendeley.com/research/value-information-systems-product-recovery-management-2,Fuminori,Toyasaki,10,8,11,380,17
2-s2.0-31044453713,10.1007/s10257-005-0007-4,The impact of reputation on supply chains. An analysis of permanent and discounted reputation,journal,2005,Information Systems and e-Business Management,323-341,3,17,http://www.mendeley.com/research/impact-reputation-supply-chains-analysis-permanent-discounted-reputation,Jochen,Franke,5,7,16,77,10
2-s2.0-84866320490,10.3846/20294913.2012.656151,An integrated assessment of Lithuanian economic sectors based on financial ratios and fuzzy MCDM methods,journal,2012,Technological and Economic Development of Economy,34-53,18,23,http://www.mendeley.com/research/integrated-assessment-lithuanian-economic-sectors-based-financial-ratios-fuzzy-mcdm-methods,Alvydas,Baležentis,46,12,28,411,12
2-s2.0-39049141671,10.1198/000313008X270547,A better estimate of the number of valid signatures on a petition,journal,2008,American Statistician,17-21,62,3,http://www.mendeley.com/research/better-estimate-number-valid-signatures-petition,Mary M.,Whiteside,1,5,14,108,13
2-s2.0-79960309939,10.1002/asi.21558,Efficient and effective prediction of social tags to enhance web search,journal,2011,Journal of the American Society for Information Science and Technology,1473-1487,62,8,http://www.mendeley.com/research/efficient-effective-prediction-social-tags-enhance-web-search,Ming-Hung,Hsu,5,5,10,73,4
2-s2.0-77952875790,10.1016/j.serrev.2010.03.001,Partnering for Innovation: Interviews with OCLC and Kuali OLE,journal,2010,Serials Review,93-101,36,30,http://www.mendeley.com/research/partnering-innovation-interviews-oclc-kuali-ole,Maria,Collins,4,9,70,211,36
2-s2.0-34548555787,10.1080/09613210701559515,Understanding investment drivers for UK sustainable property,journal,2007,Building Research and Information,629-643,35,80,http://www.mendeley.com/research/understanding-investment-drivers-uk-sustainable-property,Sarah,Sayce,73,6,28,165,29
2-s2.0-77149138847,10.5465/amj.2010.48037265,Leveraging the ties of others to build a reputation for trustworthiness among peers,journal,2010,Academy of Management Journal,129-148,53,215,http://www.mendeley.com/research/leveraging-ties-others-build-reputation-trustworthiness-among-peers,Sze-Sze,Wong,45,8,13,379,7
2-s2.0-80052423965,10.1377/hlthaff.2009.0019,Performance-based financing experiment improved health care in the Democratic Republic of Congo,journal,2011,Health Affairs,1518-1527,30,124,http://www.mendeley.com/research/performancebased-financing-experiment-improved-health-care-democratic-republic-congo,Robert,Soeters,48,6,9,231,19
2-s2.0-84986068830,10.1300/J073v18n01_07,Group Sales and Marketing in Convention Hotels,journal,2005,Journal of Travel & Tourism Marketing,67-77,18,9,http://www.mendeley.com/research/group-sales-marketing-convention-hotels,Susan R.,Gregory,6,7,21,177,29
2-s2.0-84867248742,10.1080/10580530.2012.716991,Institutional Diffusion of eParticipation in the English Local Government: Is Central Policy the Way Forward?,journal,2012,Information Systems Management,295-304,29,149,http://www.mendeley.com/research/institutional-diffusion-eparticipation-english-local-government-central-policy-way-forward,Panagiotis,Panagiotopoulos,7,3,3,24,4
2-s2.0-84875255013,10.1287/msom.1120.0406,Strategic Queueing Behavior and Its Impact on System Performance in Service Systems with the Congestion-Based Staffing Policy,journal,2013,Manufacturing & Service Operations Management,118-131,15,15,http://www.mendeley.com/research/strategic-queueing-behavior-impact-system-performance-service-systems-congestionbased-staffing-polic-1,Pengfei,Guo,10,11,29,282,21
2-s2.0-63449086357,10.1111/j.1540-5885.2009.00656.x,"Intellectual property, architecture, and the management of technological transitions: Evidence from Microsoft Corporation",journal,2009,Journal of Product Innovation Management,248-263,26,93,http://www.mendeley.com/research/intellectual-property-architecture-management-technological-transitions-evidence-microsoft-corporati,Alan,MacCormack,17,17,32,1356,50
2-s2.0-79952740423,10.1007/s10107-010-0415-1,Chance constrained uncertain classification via robust optimization,journal,2011,Mathematical Programming,145-173,127,27,http://www.mendeley.com/research/chance-constrained-uncertain-classification-via-robust-optimization,Aharon,Ben-Tal,23,40,113,5770,91
2-s2.0-84869150030,10.2105/AJPH.2012.301027,Secondary surge capacity: A framework for understanding long-term access to primary care for medically vulnerable populations in disaster recovery,journal,2012,American Journal of Public Health,,102,58,http://www.mendeley.com/research/secondary-surge-capacity-framework-understanding-longterm-access-primary-care-medically-vulnerable-p,Jennifer Davis,Runkle,23,5,9,57,20
2-s2.0-84905042926,10.1007/s11149-014-9250-2,"Service quality, scale economies and ownership: An econometric analysis of water supply costs",journal,2014,Journal of Regulatory Economics,152-182,46,12,http://www.mendeley.com/research/service-quality-scale-economies-ownership-econometric-analysis-water-supply-costs,François,Destandau,5,3,6,18,6
2-s2.0-84902868906,10.1080/13511610.2013.864229,Coining societies: an inter-functional comparative analysis of the Euro,journal,2014,Innovation,99-118,27,9,http://www.mendeley.com/research/coining-societies-interfunctional-comparative-analysis-euro,Steffen,Roth,2,7,26,88,19
2-s2.0-84890924862,10.1111/cgf.12142,Measuring privacy and utility in privacy-preserving visualization,journal,2013,Computer Graphics Forum,35-47,32,18,http://www.mendeley.com/research/measuring-privacy-utility-privacypreserving-visualization,Aritra,Dasgupta,8,6,17,129,26
2-s2.0-34248207179,10.1080/07408170600805943,Bi-objective facility expansion and relayout considering monuments,journal,2007,IIE Transactions (Institute of Industrial Engineers),747-761,39,9,http://www.mendeley.com/research/biobjective-facility-expansion-relayout-considering-monuments,Sadan,Kulturel-Konak,15,16,66,696,45
2-s2.0-84930793816,10.1287/opre.2015.1367,Robust Queueing Theory,journal,2015,Operations Research,676-700,63,45,http://www.mendeley.com/research/robust-queueing-theory,Chaithanya,Bandi,8,4,10,58,4
2-s2.0-78650127843,10.1145/1859204.1859218,The long quest for universal information access,journal,2010,Communications of the ACM,34,53,16,http://www.mendeley.com/research/long-quest-universal-information-access,Peter J.,Denning,4,31,261,4118,143
2-s2.0-84864409364,10.1007/s10257-011-0170-8,Moving recommender systems from on-line commerce to retail stores,journal,2012,Information Systems and e-Business Management,367-393,10,54,http://www.mendeley.com/research/moving-recommender-systems-online-commerce-retail-stores,Frank E.,Walter,14,4,7,311,4
2-s2.0-80255141932,10.1007/s10257-009-0124-6,Towards a business process-oriented approach to enterprise content management: The ECM-blueprinting framework,journal,2011,Information Systems and e-Business Management,475-496,9,90,http://www.mendeley.com/research/towards-business-processoriented-approach-enterprise-content-management-ecmblueprinting-framework,Jan,vom Brocke,34,23,148,1671,150
2-s2.0-84890814452,10.1002/pmj.21379,Identifying and managing creative tasks in collaborative is research projects,generic,2013,Project Management Journal,94-113,44,26,http://www.mendeley.com/research/identifying-managing-creative-tasks-collaborative-research-projects,Jan Vom,Brocke,5,10,36,345,96
2-s2.0-33847009556,10.1080/00207540600635235,Measuring system performance of an ERP-based supply chain,journal,2007,International Journal of Production Research,1255-1277,45,85,http://www.mendeley.com/research/measuring-system-performance-erpbased-supply-chain,Chrwan-Jyh,Ho,24,13,28,370,15
2-s2.0-84920926778,10.1145/2656336,Lightweight Query Authentication on Streams,journal,2014,ACM Trans. Database Syst.,30:1–30:45,39,15,http://www.mendeley.com/research/lightweight-query-authentication-streams,Stavros,Papadopoulos,2,15,30,606,38
2-s2.0-77955884621,10.1287/opre.1100.0828,Endogenous Selection and Moral Hazard in Compensation Contracts,journal,2010,Operations Research,1090-1106,58,34,http://www.mendeley.com/research/endogenous-selection-moral-hazard-compensation-contracts,Christopher S.,Armstrong,9,14,22,1142,23
2-s2.0-47749147277,10.1111/j.1365-2575.2008.00303.x,Unpacking the effect of IT capability on the performance of export-focused SMEs: A report from China,journal,2008,Information Systems Journal,357-380,18,91,http://www.mendeley.com/research/unpacking-effect-it-capability-performance-exportfocused-smes-report-china,Man,Zhang,75,32,210,2567,150
2-s2.0-84885993168,10.1080/02681102.2013.840947,"In the Age of Popular Uprisings, what is the Role of Public Access Computing and Social Media on Development?",magazine_article,2013,Information Technology for Development,267-270,19,11,http://www.mendeley.com/research/age-popular-uprisings-role-public-access-computing-social-media-development-1,Sajda,Qureshi,4,13,115,551,60
2-s2.0-33947670426,10.1080/07408170600899599,Quantile contours and multivariate density estimation for massive datasets via sequential convex hull peeling,journal,2007,IIE Transactions (Institute of Industrial Engineers),581-591,39,5,http://www.mendeley.com/research/quantile-contours-multivariate-density-estimation-massive-datasets-via-sequential-convex-hull-peelin,James P.,McDermott,5,3,4,19,3
2-s2.0-84920262903,10.1002/kpm.1444,Open Innovation in Universities: The Relationship Between Innovation and Commercialisation,journal,2014,Knowledge and Process Management,260-269,21,33,http://www.mendeley.com/research/open-innovation-universities-relationship-between-innovation-commercialisation,Arbaiah,Abdul Razak,2,1,1,2,2
2-s2.0-84861555365,10.1111/j.1467-9671.2012.01341.x,"A Multi-Objective, Multi-Criteria Approach to Improve Situational Awareness in Emergency Evacuation Routing Using Mobile Phone Data",journal,2012,Transactions in GIS,375-396,16,19,http://www.mendeley.com/research/multiobjective-multicriteria-approach-improve-situational-awareness-emergency-evacuation-routing-usi,Christopher,Oxendine,12,3,4,24,5
2-s2.0-54349123104,10.3401/poms.1080.0057,The effects of sharing upstream information on product rollover,journal,2008,Production and Operations Management,522-531,17,47,http://www.mendeley.com/research/effects-sharing-upstream-information-product-rollover,Zhaolin,Li,21,5,15,108,10
2-s2.0-33646406565,10.1258/095148406776829095,Building IT capability in health-care organizations,journal,2006,Health Services Management Research,73-79,19,30,http://www.mendeley.com/research/building-it-capability-healthcare-organizations,Naresh,Khatri,14,17,40,1111,43
2-s2.0-21344457201,10.1287/ijoc.1040.0120,LPFML: A W3C XML Schema for Linear and Integer Programming,journal,2005,INFORMS Journal on Computing,139-158,17,18,http://www.mendeley.com/research/lpfml-w3c-xml-schema-linear-integer-programming,Robert,Fourer,11,15,40,489,38
2-s2.0-84865477850,10.1109/MS.2012.109,Making architecture visible to improve flow management in lean software development,generic,2012,IEEE Software,33-39,29,84,http://www.mendeley.com/research/making-architecture-visible-improve-flow-management-lean-software-development,Robert L.,Nord,13,15,76,902,80
2-s2.0-84929260613,10.1080/15332861.2015.1011568,"Buying Behavior on Daily-Deal Sites: The Role of Face Value, Product Involvement, Information, and Website Quality",journal,2015,Journal of Internet Commerce,200-232,14,15,http://www.mendeley.com/research/buying-behavior-dailydeal-sites-role-face-value-product-involvement-information-website-quality,Dimitris A.,Drossos,2,6,12,182,16
2-s2.0-84893956152,10.1145/2536798,Multimedia search reranking,journal,2014,ACM Computing Surveys,Jan-38,46,111,http://www.mendeley.com/research/multimedia-search-reranking,Tao,Mei,100,39,534,4990,150
2-s2.0-84928335164,10.1007/s40171-015-0093-1,Flexible pricing models for cloud computing based on group decision making under consensus,journal,2015,Global Journal of Flexible Systems Management,191-204,16,13,http://www.mendeley.com/research/flexible-pricing-models-cloud-computing-based-group-decision-making-under-consensus,Arpan Kumar,Kar,9,8,56,220,50
2-s2.0-84963631832,10.1080/07421222.2015.1138573,Corporate blogging and job performance: Effects of work-related and nonwork-related participation,journal,2015,Journal of Management Information Systems,285-314,32,56,http://www.mendeley.com/research/corporate-blogging-job-performance-effects-workrelated-nonworkrelated-participation,Benjiang,Lu,6,1,2,6,3
2-s2.0-78049525053,10.5172/impp.12.1.88,Inter-technology networks to support innovation strategy: An analysis of Korea’s new growth engines,journal,2010,Innovation,88-104,12,1,http://www.mendeley.com/research/intertechnology-networks-support-innovation-strategy-analysis-koreas-new-growth-engines-1,Sung Joo,Lee,17,22,92,1525,116
2-s2.0-84875537372,10.3168/jds.2012-6107,Invited review: Sensors to support health management on dairy farms,journal,2013,Journal of Dairy Science,1928-1952,96,58,http://www.mendeley.com/research/invited-review-sensors-support-health-management-dairy-farms-1,C. J.,Rutten,101,3,9,119,11
2-s2.0-84899648104,10.1080/10447318.2014.888503,An Accessible Platform for People With Disabilities,journal,2014,International Journal of Human-Computer Interaction,480-494,30,25,http://www.mendeley.com/research/accessible-platform-people-disabilities,Carlos,Rivas-Costa,5,2,3,9,5
2-s2.0-33746267200,10.1080/09613210600733658,Selecting problem-related environmental indicators for housing management,conference_proceedings,2006,Building Research and Information,321-333,34,20,http://www.mendeley.com/research/selecting-problemrelated-environmental-indicators-housing-management,Tove,Malmqvist,17,12,26,317,52
2-s2.0-49549093401,10.1111/j.1468-0394.2008.00445.x,Datacab: A geographical-information-system-based expert system for the design of cable networks,journal,2008,Expert Systems,335-348,25,4,http://www.mendeley.com/research/datacab-geographicalinformationsystembased-expert-system-design-cable-networks,Iñigo,Monedero,2,12,35,267,26
2-s2.0-79955641279,10.1377/hlthaff.2011.0047,Preventing bloodstream infections: A measurable national success story in quality improvement,journal,2011,Health Affairs,628-634,30,58,http://www.mendeley.com/research/preventing-bloodstream-infections-measurable-national-success-story-quality-improvement,Peter J.,Pronovost,60,88,641,20161,150
2-s2.0-33947408736,10.1002/asi.20524,Untangling Herdan's law and Heaps' Law: Mathematical and informetric arguments,journal,2007,Journal of the American Society for Information Science and Technology,702-709,58,24,http://www.mendeley.com/research/untangling-herdans-law-heaps-law-mathematical-informetric-arguments,Leo,Egghe,20,27,207,2357,22
2-s2.0-66149162974,10.1377/hlthaff.28.2.377,Information gap: Can health insurer personal health records meet patients' and physicians' needs?,journal,2009,Health Affairs,377-389,28,65,http://www.mendeley.com/research/information-gap-health-insurer-personal-health-records-meet-patients-physicians-needs,Joy M.,Grossman,14,15,36,917,36
2-s2.0-84928760216,10.1080/23303131.2015.1011763,"Equalization of What? Status, Expertise, and Tenure in Virtual Communities of Practice",journal,2015,"Human Service Organizations Management, Leadership and Governance",152-161,39,8,http://www.mendeley.com/research/equalization-status-expertise-tenure-virtual-communities-practice,Azi,Lev-On,2,9,38,204,19
2-s2.0-84880064145,10.1109/MS.2013.76,Getting an intuition for big data,generic,2013,IEEE Software,6-Mar,30,71,http://www.mendeley.com/research/getting-intuition-big-data,Forrest,Shull,3,28,134,2552,150
2-s2.0-84885161075,10.1287/isre.1120.0456,Motivational differences across post-acceptance information system usage behaviors: An investigation in the business intelligence systems context,journal,2013,Information Systems Research,659-682,24,173,http://www.mendeley.com/research/motivational-differences-across-postacceptance-information-system-usage-behaviors-investigation-busi,Xixi,Li,66,4,7,84,11
2-s2.0-84880523087,10.3233/IFS-120682,Crossing the fuzzy front end chasm: Effective product project concept selection using a 2-tuple fuzzy linguistic approach,journal,2013,Journal of Intelligent and Fuzzy Systems,755-770,25,21,http://www.mendeley.com/research/crossing-fuzzy-front-end-chasm-effective-product-project-concept-selection-using-2tuple-fuzzy-lingui,Chih-Fong,Tsai,5,21,117,1824,80
2-s2.0-84937191271,10.1002/mcda.1528,Using Ordinal Data to Estimate Cardinal Values,journal,2015,Journal of Multi-Criteria Decision Analysis,185-196,22,1,http://www.mendeley.com/research/using-ordinal-data-estimate-cardinal-values,Jingguo,Wang,3,10,42,403,38
2-s2.0-43649108347,10.1111/j.1540-5915.2008.00191.x,Information technology project escalation: A process model,journal,2008,Decision Sciences,239-272,39,43,http://www.mendeley.com/research/information-technology-project-escalation-process-model-3,Magnus,Mähring,58,13,50,550,51
2-s2.0-84872376408,10.1111/j.1467-8543.2011.00860.x,New Forms of Employee Involvement at European Level - The Case of the European Company (SE),journal,2012,British Journal of Industrial Relations,620-643,50,10,http://www.mendeley.com/research/new-forms-employee-involvement-european-level-case-european-company-se-1,Berndt,Keller,6,7,24,119,8
2-s2.0-63049133645,10.1002/sres.960,A method for enterprise knowledge map construction based on social classification,journal,2009,Systems Research and Behavioral Science,143-153,26,17,http://www.mendeley.com/research/method-enterprise-knowledge-map-construction-based-social-classification-1,Liu,Lu,12,6,14,169,29
2-s2.0-58849149565,10.1145/1435417.1435446,Improved security through information security governance,journal,2009,Communications of the ACM,126,52,131,http://www.mendeley.com/research/improved-security-through-information-security-governance-15,Allen C.,Johnston,38,14,38,823,45
